tenure_months,monthly_charge,support_tickets,contract,autopay,reference_id,churned
17,77.7738,2,2,0,0.7535,1
14,99.1577,1,2,0,0.733,1
57,32.4069,0,0,0,-0.7826,0
62,33.2184,5,1,0,0.2446,0
7,44.6037,0,0,1,2.5943,1
54,65.653,0,2,1,-0.6708,0
46,73.047,0,1,1,-1.0242,1
56,108.0621,2,2,0,0.7472,0
38,81.2215,0,2,1,1.7219,0
71,76.2434,0,1,0,0.7818,0
2,90.1416,0,2,1,0.7059,1
41,73.553,1,2,0,0.4631,1
15,68.8076,4,0,0,0.205,1
4,104.2953,1,0,1,-0.3671,1
66,52.0235,0,1,1,-1.5917,0
63,51.4241,0,1,0,1.3518,0
71,30.7416,1,1,1,-0.0541,0
29,81.624,1,2,1,-0.5343,0
4,74.7143,3,1,1,-0.9819,1
28,59.1238,0,0,0,1.0808,1
62,74.2471,1,1,1,0.6068,0
8,74.0967,1,2,1,-0.0469,0
17,95.8102,3,1,0,-0.3181,1
57,65.2651,0,1,1,-0.0311,0
10,70.9055,0,0,0,1.4227,1
30,90.1204,1,1,1,-0.9446,1
58,59.668,3,0,0,0.688,0
67,100.0781,1,2,0,-0.1939,0
31,96.0222,0,2,1,-0.2852,0
2,53.9573,0,1,0,0.0132,0
1,39.7823,0,0,1,-1.1799,1
31,91.1496,2,1,0,-0.3492,1
50,71.4773,1,1,0,0.3021,0
48,85.1161,3,1,1,-0.5301,1
30,54.3188,1,2,1,0.1141,0
39,16.216,0,2,0,0.2865,0
64,86.9888,1,1,0,-1.279,0
67,73.9855,0,0,1,0.0005,1
43,56.9034,2,1,1,1.1747,0
32,114.3799,2,1,0,0.7419,1
8,59.764,0,0,0,0.3685,1
54,60.2133,1,2,0,-0.0927,0
40,60.3851,2,1,0,0.8321,1
18,57.2937,1,1,0,0.3829,1
66,64.0106,0,2,0,0.241,0
25,93.3033,2,0,0,0.7788,1
7,63.2816,2,2,1,-0.0434,0
62,83.082,0,0,1,-0.3007,0
61,72.2502,0,0,1,0.1594,1
8,101.7255,0,1,1,-0.0124,1
19,44.5176,2,0,0,0.1595,1
8,46.5971,1,1,1,0.4133,1
8,56.7938,0,0,1,-1.392,1
16,57.6184,0,0,0,-0.1694,1
22,64.1452,0,2,0,-1.1719,1
62,47.9051,0,1,1,1.1773,0
0,55.0605,2,1,1,1.88,1
24,19.1202,2,2,0,0.235,0
23,141.7512,1,1,0,0.278,0
50,89.2574,0,0,0,1.1712,0
25,75.1677,2,2,1,-1.8288,0
68,93.796,0,1,1,0.2771,0
0,73.3238,0,0,0,0.5503,1
62,71.7535,0,2,1,-0.5499,0
11,80.8984,1,2,1,0.8851,0
46,91.6159,1,2,0,0.0821,1
56,99.3977,1,0,1,-0.0503,1
45,54.6438,1,0,1,1.0037,0
15,82.5066,1,0,0,0.0724,1
13,45.5316,1,0,1,-1.1136,1
24,121.2468,0,0,1,0.0265,1
37,15,0,1,1,-0.7343,0
24,77.7125,1,1,1,-0.0822,1
41,67.5857,2,0,1,-0.4452,1
30,104.006,1,0,1,0.3946,0
53,84.7726,1,2,1,-0.9143,0
15,32.1893,0,2,0,-0.1039,0
57,101.7068,0,1,0,-0.4578,1
58,127.0404,3,2,0,-0.3631,1
45,112.1121,1,2,0,-0.2051,1
51,70.1736,0,2,0,-1.4416,1
28,106.4835,1,0,1,-1.0294,1
5,55.1526,2,1,1,0.817,1
63,21.1912,1,0,0,-2.1732,0
22,22.5163,3,1,1,0.4871,1
7,63.3457,2,1,1,-0.4511,1
6,58.4847,1,2,1,-0.3855,1
55,47.8959,2,2,1,0.3774,0
67,69.0972,1,1,1,0.4948,0
55,62.2188,2,0,1,0.5121,0
62,80.4708,2,2,1,-0.282,0
24,49.9404,2,0,0,0.5073,1
53,77.0262,1,0,0,-0.1621,1
50,44.642,2,0,1,-1.7494,0
71,37.0048,2,2,1,-0.7047,0
20,53.372,0,2,0,-0.051,1
40,72.2632,1,2,1,0.2836,0
