rooms,area_m2,age_years,km_to_centre,quality,reference_id,price
5,93.3307,46,2.4017,1,-2.2124,11378.4766
6,115.4878,63,7.7789,2,0.0549,11367.9143
6,109.9986,13,6.1181,3,0.2681,19158.3735
1,129.5526,4,2.6399,1,0.2288,9458.2923
5,25,45,13.9323,5,1.5012,12211.1074
6,71.1985,40,2.461,1,1.6356,11126.9575
1,87.277,10,39.2237,1,-0.685,-7337.7966
6,44.8937,74,5.6874,3,0.1961,11279.7782
4,136.256,43,7.25,2,-0.4469,10070.6023
6,140.8522,25,16.1593,3,-0.8122,16714.6277
4,113.0973,20,3.2311,5,-0.4359,24702.5351
6,100.6017,34,0.4932,3,0.391,17853.1321
6,105.1476,1,11.6876,5,-3.3103,31033.5459
6,146.9048,47,3.0292,2,-1.594,16999.8835
3,105.3209,64,5.4574,1,2.1365,3192.45
2,86.8629,59,1.357,2,-0.8804,3906.8462
1,154.4221,56,0.2,2,-0.6635,6677.4243
6,80.4996,57,9.0032,5,0.0872,20900.1755
4,132.5918,24,39.8674,2,0.893,-501.2414
1,54.3538,46,2.2405,4,-0.8655,12195.7115
3,147.0888,32,12.5807,4,-1.8564,17854.6788
1,93.2884,65,4.8223,4,0.1564,9391.4682
2,83.2958,16,0.9828,4,-0.2347,17990.4307
6,95.7873,62,10.7244,3,-0.7303,10616.9576
5,119.2841,21,2.5138,5,-0.7486,29541.8017
4,122.5464,78,2.2989,1,-0.3697,5840.4472
3,132.7136,74,0.6213,4,-2.4703,14902.1916
1,107.5424,22,9.0454,3,-1.4038,5942.3266
6,43.0629,76,16.9395,5,0.2317,10637.1093
5,126.5674,49,15.4112,1,-0.4075,2720.4961
3,53.6315,42,9.9542,4,1.1459,10719.1967
2,116.87,65,4.517,4,0.7766,15705.9851
3,121.1916,32,4.1176,1,0.4354,5767.1136
1,128.2623,30,5.8946,2,0.8533,5429.7065
6,104.5664,48,14.2056,5,-1.5387,22454.1529
2,82.5082,42,1.4647,1,0.4956,2170.0139
6,26.1512,6,2.6047,5,-0.7531,24125.3441
6,117.3446,11,5.2402,4,-1.0906,27784.349
6,49.2135,54,18.2298,5,-0.0043,15309.3729
1,89.161,18,8.1101,1,0.3994,4321.7048
5,116.3991,37,2.8976,4,-0.5453,23559.1166
6,102.3238,34,3.5036,1,2.0599,12365.2853
4,79.3266,11,7.7819,5,0.9903,22171.6679
4,98.928,2,14.6505,1,-0.7505,7972.267
4,64.7408,42,0.3816,4,-0.1667,15983.6638
4,118.5122,0,1.3819,4,-0.9936,28060.8085
